Ticker,AnalysisDate,T1_Date,ShortReturn_T1,LongReturn_T1,T2_Date,Day2Return,ShortReturn_T2_Strat,LongReturn_T2_Strat
WGO,2025-12-22,2025-12-23,0.003533604786407061,0.008127147227452017,2025-12-24,-0.0055970539293026655,0.009911362557697517,-0.0055970539293026655
SCHL,2025-12-22,2025-12-23,-0.04000000000000005,0.05679733180875913,2025-12-24,0.006937244657257124,-0.0022546144373787936,0.006937244657257124
LW,2025-12-22,2025-12-23,0.021749336083000927,-0.016929165922204212,2025-12-24,0.02492317725275684,-0.005040784571335068,0.02492317725275684
OLMA,2025-12-22,2025-12-23,0.008231977279477836,-0.010737334956149756,2025-12-24,0.01667287020213302,-0.014449773729371184,-0.04000000000000002
PDEX,2025-12-22,2025-12-23,0.024146089692742092,-0.032980011795457106,2025-12-24,-0.04170621100500367,0.05556874830112641,-0.04000000000000001
IRON,2025-12-22,2025-12-23,-0.00914709127656824,0.006939129542514526,2025-12-24,0.005000019073486328,-0.0003125190734863281,0.005000019073486328
ANDG,2025-12-22,2025-12-23,0.0007689526177498112,-0.040000000000000015,2025-12-24,0.014056240435010312,-0.00883539052504253,0.014056240435010312
AFJK,2025-12-22,2025-12-23,-0.039999999999999994,0.5077569722252686,2025-12-24,-0.02742401123046875,-0.04,-0.04
BETR,2025-12-22,2025-12-23,-0.0011085670399177175,-0.004434691075089056,2025-12-24,0.039720228501966784,-0.039999999999999994,-0.039999999999999994
INTG,2025-12-22,2025-12-23,-0.03999999999999998,0.08078429278205423,2025-12-24,-0.01818181818181818,0.01818181818181818,-0.01818181818181818
UNF,2025-12-23,2025-12-24,0.004016079638624071,0.003288146532788664,2025-12-26,-0.016197926044985603,0.010682668961373489,-0.016197926044985603
DDS,2025-12-23,2025-12-24,0.006207758717170712,0.004456805082321926,2025-12-26,0.003929354919330204,-0.0007079227734027656,0.003929354919330204
RYM,2025-12-23,2025-12-24,0.09094456859415828,-0.04000000000000009,2025-12-26,-0.013667930995224313,0.001019976266700098,-0.013667930995224313
NKTR,2025-12-23,2025-12-24,0.0004543659129526096,-0.0038627170058794535,2025-12-26,0.02109603659870015,-0.009630776497756318,0.02109603659870015
EWTX,2025-12-23,2025-12-24,-0.039999999999999994,0.2152406331887324,2025-12-26,-0.034078427041995214,0.056430958734454306,-0.04000000000000005
