Hours,mean,median,std,min,max,count
0.5,2.5459289083550383,-2.6197250442015267,9.791992216066696,-4.0,33.7710317813585,20
1.0,2.6843104227300936,-3.3552068473609173,10.23899490261215,-4.0,28.881774525497363,20
1.5,2.632280730075447,-3.0999083409715866,9.588697774669198,-4.0,31.488680539675272,20
2.0,2.5143295420035416,-3.6498625114573757,9.783089895520822,-4.0,32.17470843814315,20
2.5,3.407145874331273,-3.041369472182602,12.179429741309042,-4.0,42.07637777269609,20
3.0,3.696064532545732,-3.119828815977181,13.161517776903537,-4.0,47.03864623828035,20
3.5,3.3309492853058726,-3.0556348074179773,13.244234598793811,-4.0,48.707980791218844,20
4.0,2.975793927408007,-4.0,12.22089492779254,-4.0,42.5451635033158,19
4.5,3.29771515911646,-4.0,13.86714546564629,-4.0,48.863480448204896,19
5.0,3.4390681362958277,-4.0,14.112543755630195,-4.0,50.44591813400411,18
5.5,3.8937093701213366,-4.0,14.815797287945195,-4.0,53.1900297278756,18
6.0,3.980974077518883,-4.0,15.020118493621663,-4.0,54.2190715755774,18
6.5,3.3031983345761255,-4.0,19.464297503552675,-4.0,62.611479533501026,13
