Strategy,Avg Return,Median Return,Win Rate,Min,Max
"HMM (T=0.95, P=1)",1.9663760448932437,0.13877514079377437,56.25,-4.0,18.582375478927208
"HMM (T=0.9, P=2)",1.847700737550194,0.13877514079377437,56.25,-4.0,19.421072796934876
"HMM (T=0.9, P=1)",1.7465392401059026,0.1616898978973445,56.25,-4.0,15.019157088122611
"HMM (T=0.8, P=2)",1.5725810057494272,0.13877514079377437,56.25,-4.0,15.019157088122611
"HMM (T=0.8, P=1)",1.4656574465484509,0.1616898978973445,56.25,-4.0,10.728582866293033
