Tier,Minutes,Return,ReturnPct,Hours
Moderate Confidence (0% < Pred < 3.5%),60,-0.04,-4.0,1.0
Moderate Confidence (0% < Pred < 3.5%),60,0.03793002058218169,3.7930020582181685,1.0
Moderate Confidence (0% < Pred < 3.5%),60,-0.04,-4.0,1.0
Moderate Confidence (0% < Pred < 3.5%),90,0.023612750885478158,2.3612750885478158,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.04,-4.0,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.013209808719971941,1.320980871997194,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.006487488415199285,-0.6487488415199285,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.05795148247978433,5.795148247978433,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.01769273743016745,1.7692737430167451,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.04,-4.0,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.007056870070568624,0.7056870070568624,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.04,-4.0,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.12374001832700617,12.374001832700616,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.01769273743016745,1.7692737430167451,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.016479894528675015,-1.6479894528675016,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.0068772287315334475,-0.6877228731533448,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.035072336694432146,3.5072336694432145,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.019986216402481112,-1.9986216402481112,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.053718085106383075,5.371808510638307,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.056768558951964976,5.676855895196498,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.02165932452276064,2.165932452276064,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.014002333722287026,1.4002333722287026,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.004030547305897279,-0.40305473058972785,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.0030750307503075464,0.30750307503075464,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.04,-4.0,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.14502185651838512,14.502185651838511,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.13142337426102763,13.142337426102763,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.003836317135549904,0.3836317135549904,1.5
Moderate Confidence (0% < Pred < 3.5%),90,,,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.02363636363636355,-2.363636363636355,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.030146939218131552,-3.014693921813155,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.027153740965032244,-2.7153740965032243,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.04,-4.0,1.5
Moderate Confidence (0% < Pred < 3.5%),90,0.03410761540723307,3.410761540723307,1.5
Moderate Confidence (0% < Pred < 3.5%),90,-0.04,-4.0,1.5
Moderate Confidence (0% < Pred < 3.5%),120,0.014165289256198301,1.4165289256198301,2.0
Moderate Confidence (0% < Pred < 3.5%),120,-0.04,-4.0,2.0
Moderate Confidence (0% < Pred < 3.5%),120,0.009439144983269173,0.9439144983269173,2.0
Moderate Confidence (0% < Pred < 3.5%),120,-0.0012743280815571553,-0.12743280815571553,2.0
Moderate Confidence (0% < Pred < 3.5%),120,0.0653638814016173,6.536388140161729,2.0
Moderate Confidence (0% < Pred < 3.5%),120,0.020949720670391064,2.0949720670391065,2.0
Moderate Confidence (0% < Pred < 3.5%),120,-0.04,-4.0,2.0
Moderate Confidence (0% < Pred < 3.5%),120,-0.00415110004151106,-0.415110004151106,2.0
Moderate Confidence (0% < Pred < 3.5%),120,-0.04,-4.0,2.0
Moderate Confidence (0% < Pred < 3.5%),120,0.10178033774054203,10.178033774054203,2.0
Moderate Confidence (0% < Pred < 3.5%),120,0.020949720670391064,2.0949720670391065,2.0
Moderate Confidence (0% < Pred < 3.5%),120,-0.012313777191825963,-1.2313777191825963,2.0
Moderate Confidence (0% < Pred < 3.5%),120,0.0062404482934283615,0.6240448293428361,2.0
