EntryPrice,StopPrice,MaxHigh,MinLow,PotentialExitPrice,PotentialReturn,StoppedOut,RealizedReturn,ticker,date,MaxProfitPct
43.49,45.229600000000005,44.58,42.77005,43.085,0.009312485628880228,False,0.009312485628880228,LW,2025-12-22,1.655438031731442
27.92,29.036800000000003,28.9799,26.402,28.54,-0.022206303724928274,False,-0.022206303724928274,OLMA,2025-12-22,5.436962750716335
41.0,42.64,47.4,41.0,45.15,-0.10121951219512192,True,-0.04,PDEX,2025-12-22,0.0
80.51,83.7304,81.485,78.0,78.53,0.02459321823375983,False,0.02459321823375983,IRON,2025-12-22,3.1176251397342005
24.51,25.4904,26.25,24.1158,25.54,-0.042023663810689414,True,-0.04,ANDG,2025-12-22,1.6083231334149386
34.48,35.8592,38.55,33.71,35.3,-0.023781902552204186,True,-0.04,AFJK,2025-12-22,2.233178654292332
35.05,36.452,36.25,33.0,35.5266,-0.013597717546362478,False,-0.013597717546362478,BETR,2025-12-22,5.848787446504986
27.15,28.236,28.9,27.05,28.21,-0.03904235727440156,True,-0.04,INTG,2025-12-22,0.36832412523019475
21.02,21.8608,22.0,21.02,21.63,-0.029019980970504254,True,-0.04,EWTX,2025-12-23,0.0
25.5,26.52,26.815,25.5,26.815,-0.05156862745098044,True,-0.04,INTG,2025-12-23,0.0
168.21,174.9384,173.94,145.0001,149.0,0.11420248498900189,False,0.11420248498900189,SMX,2025-12-23,13.79816895547233
110.0,114.4,110.0,101.45,105.58,0.0401818181818182,False,0.0401818181818182,WSHP,2025-12-23,7.77272727272727
30.94,32.177600000000005,78.41,30.94,47.22,-0.5261797026502908,True,-0.04,AFJK,2025-12-23,0.0
17.72,18.4288,17.72,16.32,16.9999,0.04063769751692995,False,0.04063769751692995,VHC,2025-12-23,7.900677200902926
14.84,15.4336,14.84,13.652,13.87,0.0653638814016173,False,0.0653638814016173,JFB,2025-12-24,8.005390835579519
17.9,18.616,17.96,17.31,17.5201,0.021223463687150796,False,0.021223463687150796,SDHC,2025-12-24,3.2960893854748594
26.87,27.9448,27.995,26.63,26.91,-0.0014886490509861982,True,-0.04,FBRX,2025-12-24,0.8931894305917454
24.09,25.0536,24.77,23.1,24.19,-0.00415110004151106,False,-0.00415110004151106,CSIQ,2025-12-24,4.109589041095884
16.98,17.659200000000002,18.71,16.675,18.28,-0.0765606595995289,True,-0.04,FBYD,2025-12-24,1.7962308598350982
152.78,158.8912,154.0,130.0,137.23,0.10178033774054203,False,0.10178033774054203,SMX,2025-12-24,14.91032857703888
78.08,81.2032,84.985,77.845,78.89,-0.010373975409836094,True,-0.04,INBX,2025-12-24,0.300973360655737
152.78,158.8912,154.0,130.0,137.23,0.10178033774054203,False,0.10178033774054203,SMX,2025-12-24,14.91032857703888
17.9,18.616,17.96,17.31,17.5201,0.021223463687150796,False,0.021223463687150796,SDHC,2025-12-24,3.2960893854748594
18.8,19.552000000000003,18.8,18.0,18.0,0.042553191489361736,False,0.042553191489361736,MFI,2025-12-29,4.255319148936174
112.33,116.8232,112.33,65.0,91.21,0.18801744858897895,False,0.18801744858897895,SMX,2025-12-29,42.134781447520695
16.37,17.024800000000003,18.51,16.37,18.51,-0.13072693952351866,True,-0.04,THH,2025-12-29,0.0
15.53,16.1512,18.88,15.53,16.9,-0.08821635544108174,True,-0.04,PHOE,2025-12-29,0.0
29.51,30.690400000000004,29.83,27.99,28.68,0.02812605896306343,False,0.02812605896306343,GLTO,2025-12-30,5.150796340223663
64.49,67.0696,65.4704,48.0,50.7406,0.21320204682896565,False,0.21320204682896565,SMX,2025-12-30,25.569855791595593
19.85,20.644000000000002,22.6398,19.8,21.685,-0.09244332493702756,True,-0.04,RARE,2025-12-30,0.25188916876574663
20.3,21.112000000000002,20.3,18.57,19.75,0.027093596059113333,False,0.027093596059113333,VRM,2025-12-30,8.522167487684731
29.46,30.6384,30.5,29.46,29.725,-0.008995247793618485,False,-0.008995247793618485,NNNN,2025-12-31,0.0
100.0,104.0,100.0,93.25,95.0,0.05,False,0.05,WSHP,2025-12-31,6.75
18.39,19.125600000000002,19.2,18.38,19.05,-0.03588907014681893,True,-0.04,THH,2025-12-31,0.0543773790103402
23.0,23.92,24.02,22.33,24.0,-0.043478260869565216,True,-0.04,GLTO,2025-12-31,2.913043478260877
43.73,45.4792,45.0,28.6,29.66,0.32174708438143146,False,0.32174708438143146,SMX,2025-12-31,34.598673679396285
14.94,15.5376,14.94,14.11,14.53,0.02744310575635878,False,0.02744310575635878,FBYD,2026-01-02,5.555555555555556
85.4,88.816,94.83,72.86,79.205,0.07254098360655746,True,-0.04,AFJK,2026-01-02,14.683840749414525
19.65,20.436,23.25,17.1,19.3179,0.01690076335877847,True,-0.04,SMX,2026-01-02,12.977099236641207
34.01,35.3704,35.29,32.27,33.01,0.02940311673037342,False,0.02940311673037342,CTEV,2026-01-05,5.11614231108496
66.8,69.472,86.01,66.0006,80.4694,-0.20463173652694605,True,-0.04,AFJK,2026-01-05,1.1967065868263345
19.51,20.2904,19.51,15.0001,15.8,0.19015889287544852,False,0.19015889287544852,ASPC,2026-01-05,23.115838031778583
15.01,15.6104,15.75,14.16,14.76,0.016655562958027982,True,-0.04,ESHA,2026-01-05,5.662891405729511
21.82,22.692800000000002,22.6,20.785,22.545,-0.03322639780018338,False,-0.03322639780018338,GLTO,2026-01-05,4.743354720439965
24.98,25.979200000000002,25.43,22.08,22.675,0.09227381905524418,False,0.09227381905524418,FBRX,2026-01-05,11.609287429943963
