Strategy,Avg Return,Median Return,Win Rate,Min,Max
HMM (Thresh 0.8),1.36332593032312,-0.09141501841610172,50.0,-4.0,9.067253803042435
HMM (Thresh 0.9),1.3457253556104765,-0.09141501841610172,50.0,-4.0,9.067253803042435
HMM (Thresh 0.7),1.2096813520098677,-0.09141501841610172,50.0,-4.0,9.067253803042435
HMM (Thresh 0.95),1.1635476531551456,-0.09141501841610172,50.0,-4.0,9.207365892714174
