Hours,mean,median,std,min,max,count
0.5,1.8896480471291226,0.8100558659217855,7.301857824800675,-4.0,33.7710317813585,45
1.0,2.1065458304732854,0.9197516670498932,7.684076071061915,-4.0,28.881774525497363,45
1.5,2.125742403727048,-0.2101864879224509,7.798935437567479,-4.0,31.488680539675272,44
2.0,2.0657976383102796,-0.9514405276915118,8.278585687541916,-4.0,32.17470843814315,44
2.5,2.5158899983858682,-1.6896279506427339,9.718001061091055,-4.0,42.07637777269609,44
3.0,2.791496814305468,-1.2915003848467395,10.372477500621729,-4.0,47.03864623828035,44
3.5,2.6100732955021186,-1.4683445303561065,10.459376761660376,-4.0,48.707980791218844,44
4.0,2.4216861113358696,-4.0,10.585116370587652,-4.0,42.5451635033158,38
4.5,2.6232592339689695,-4.0,11.478191735041271,-4.0,48.863480448204896,38
5.0,2.9367364218025824,-4.0,11.870700033242896,-4.0,50.44591813400411,37
5.5,2.913481758692331,-4.0,11.995234238420084,-4.0,53.1900297278756,37
6.0,3.0798291939578757,-4.0,12.387788600010042,-4.0,54.2190715755774,36
6.5,0.35795509049269186,-4.0,14.24225947320779,-4.0,62.611479533501026,25
