ticker,date,Return_Last60m,Return_Last30m
INTG,2025-12-22,0.003969829297340271,0.007908264136022115
INTG,2025-12-23,-0.016974169741697315,0.002172338884866121
SMX,2025-12-23,-0.01617657138940307,-0.011807261807261736
WSHP,2025-12-23,0.1,
AFJK,2025-12-23,0.04012345679012352,-0.01457155284906485
VHC,2025-12-23,-0.005810575246949324,-0.005810575246949324
SMX,2025-12-24,,
SMX,2025-12-29,-0.021021021021021023,-0.02200312612720931
GLTO,2025-12-30,0.03838690481324008,0.00954918942926937
SMX,2025-12-30,-0.046623629470232575,-0.02242242242242237
RARE,2025-12-30,-0.004667703934207621,-0.007130124777183606
VRM,2025-12-30,0.008346374543557649,-0.010095642933050014
NNNN,2025-12-31,0.0,
GLTO,2025-12-31,0.008583690987124432,0.01702127659574462
SMX,2025-12-31,0.20204978038067337,0.18940625867607977
TAYD,2026-01-02,-0.007003447190303823,-0.010981810998735807
NGNE,2026-01-02,0.0004957858205256105,0.0014858841010401752
CORT,2026-01-02,-0.01921024546424776,-0.0166333998669328
APLM,2026-01-02,0.04218362282878402,0.0
ASPC,2026-01-02,0.030226666666666645,0.00998638838475493
FBYD,2026-01-02,-0.0063559322033898205,-0.008492569002123087
AFJK,2026-01-02,0.0025641025641026005,0.029077748658430033
SMX,2026-01-02,-0.038090318921601314,-0.03535353535353532
GLTO,2026-01-05,-0.01087470449172579,-0.011348101475395039
FBRX,2026-01-05,-0.003568242640499478,0.011640676477048124
