OriginalDate,NextTradingDate,Ticker,OpenPrice,MaxHigh2h,ExitPrice,Outcome,Return
2025-12-22,2025-12-23,ANDG,26.01,26.57,25.99,Time Exit,0.0007689350249905085
2025-12-23,2025-12-24,AFJK,50.0,69.45,52.0,Stop Loss,-0.04
2025-12-24,2025-12-26,FBYD,17.88,17.88,16.415,Time Exit,0.0819351230425056
2025-12-29,2025-12-30,THH,24.27,24.27,19.235,Time Exit,0.20745776679027608
2025-12-30,2025-12-31,RARE,22.5,22.605,22.22,Time Exit,0.012444444444444496
2025-12-31,2026-01-02,THH,20.0,20.0,17.79,Time Exit,0.11050000000000004
2025-12-31,2026-01-02,GLTO,24.42,24.42,22.93,Time Exit,0.06101556101556109
