EntryPrice,StopPrice,MaxHigh,MinLow,PotentialExitPrice,PotentialReturn,StoppedOut,RealizedReturn,ticker,date,MaxProfitPct,Volatility_30D,AvgVolume_30D,IntradayVolatility_3D
43.49,45.229600000000005,44.58,42.77005,43.085,0.0093124856288802,False,0.0093124856288802,LW,2025-12-22,1.655438031731442,0.8054872483277012,112771198.53300002,0.007574390630184796
27.92,29.036800000000003,28.9799,26.402,28.54,-0.0222063037249282,False,-0.0222063037249282,OLMA,2025-12-22,5.436962750716335,4.084209990311531,148127556.86599997,0.006787814379472824
41.0,42.64,47.4,41.0,45.15,-0.1012195121951219,True,-0.04,PDEX,2025-12-22,0.0,0.6152742074698014,1147002.9941666669,0.016525179854616035
80.51,83.7304,81.485,78.0,78.53,0.0245932182337598,False,0.0245932182337598,IRON,2025-12-22,3.1176251397342005,0.4506199400111084,58661811.533999994,0.009912329010416011
24.51,25.4904,26.25,24.1158,25.54,-0.0420236638106894,True,-0.04,ANDG,2025-12-22,1.6083231334149386,,,0.012079091244549586
34.48,35.8592,38.55,33.71,35.3,-0.0237819025522041,True,-0.04,AFJK,2025-12-22,2.233178654292332,30.03209473774203,23242687.398973335,0.059421531037298095
35.05,36.452,36.25,33.0,35.5266,-0.0135977175463624,False,-0.0135977175463624,BETR,2025-12-22,5.848787446504986,1.057314532881031,25807686.98266667,0.00706549644866742
27.15,28.236,28.9,27.05,28.21,-0.0390423572744015,True,-0.04,INTG,2025-12-22,0.3683241252301947,0.7296515554306001,375217.93066666654,0.02088488231480739
21.02,21.8608,22.0,21.02,21.63,-0.0290199809705042,True,-0.04,EWTX,2025-12-23,0.0,1.1317744558965253,38881333.30200001,0.009213430159452224
25.5,26.52,26.815,25.5,26.815,-0.0515686274509804,True,-0.04,INTG,2025-12-23,0.0,0.7558773550734469,416034.7823333332,0.01977428683993772
168.21,174.9384,173.94,145.0001,149.0,0.1142024849890018,False,0.1142024849890018,SMX,2025-12-23,13.79816895547233,11.118710408291088,184945406.9573333,0.019093518736386875
110.0,114.4,110.0,101.45,105.58,0.0401818181818182,False,0.0401818181818182,WSHP,2025-12-23,7.77272727272727,16.264789869592075,4293797.688076923,0.025501464594471456
30.94,32.177600000000005,78.41,30.94,47.22,-0.5261797026502908,True,-0.04,AFJK,2025-12-23,0.0,29.976639365295036,23120592.74097334,0.05805045621727271
17.72,18.4288,17.72,16.32,16.9999,0.0406376975169299,False,0.0406376975169299,VHC,2025-12-23,7.900677200902926,0.9307977702812208,406032.5713133333,0.02144474695678875
14.84,15.4336,14.84,13.652,13.87,0.0653638814016173,False,0.0653638814016173,JFB,2025-12-24,8.005390835579519,1.1506573851673454,1075015.744,0.02727892022139945
17.9,18.616,17.96,17.31,17.5201,0.0212234636871507,False,0.0212234636871507,SDHC,2025-12-24,3.2960893854748594,0.6624614733111235,1606737.368,0.006717153541723779
26.87,27.9448,27.995,26.63,26.91,-0.0014886490509861,True,-0.04,FBRX,2025-12-24,0.8931894305917454,1.1722280275631145,3434061.6955000004,0.01199435290762682
24.09,25.0536,24.77,23.1,24.19,-0.004151100041511,False,-0.004151100041511,CSIQ,2025-12-24,4.109589041095884,1.254888358239097,151564677.5015,0.005924589595127679
16.98,17.659200000000002,18.71,16.675,18.28,-0.0765606595995289,True,-0.04,FBYD,2025-12-24,1.7962308598350982,1.8613739171499162,3146430.304,0.017271546020014496
152.78,158.8912,154.0,130.0,137.23,0.101780337740542,False,0.101780337740542,SMX,2025-12-24,14.91032857703888,11.130943848326764,185756751.76299998,0.01527413839622735
78.08,81.2032,84.985,77.845,78.89,-0.010373975409836,True,-0.04,INBX,2025-12-24,0.300973360655737,0.6733010362060092,22548818.73566667,0.00880369580205422
152.78,158.8912,154.0,130.0,137.23,0.101780337740542,False,0.101780337740542,SMX,2025-12-24,14.91032857703888,11.130943848326764,185756751.76299998,0.01527413839622735
17.9,18.616,17.96,17.31,17.5201,0.0212234636871507,False,0.0212234636871507,SDHC,2025-12-24,3.2960893854748594,0.6624614733111235,1606737.368,0.006717153541723779
18.8,19.552000000000003,18.8,18.0,18.0,0.0425531914893617,False,0.0425531914893617,MFI,2025-12-29,4.255319148936174,2.205612496461572,1895112.842333333,0.02223062476232477
112.33,116.8232,112.33,65.0,91.21,0.1880174485889789,False,0.1880174485889789,SMX,2025-12-29,42.134781447520695,11.198518053472002,186973465.46099997,0.01507099471085343
16.37,17.024800000000003,18.51,16.37,18.51,-0.1307269395235186,True,-0.04,THH,2025-12-29,0.0,2.9002768664450302,1476129.1774099998,0.0265380823211682
15.53,16.1512,18.88,15.53,16.9,-0.0882163554410817,True,-0.04,PHOE,2025-12-29,0.0,0.8857506810277549,61812.31057407408,
29.51,30.690400000000004,29.83,27.99,28.68,0.0281260589630634,False,0.0281260589630634,GLTO,2025-12-30,5.150796340223663,1.3959335564885822,4016744.5680000004,0.01943608886007846
64.49,67.0696,65.4704,48.0,50.7406,0.2132020468289656,False,0.2132020468289656,SMX,2025-12-30,25.569855791595597,11.23228822557038,188707043.61766666,0.026078953725375234
19.85,20.644,22.6398,19.8,21.685,-0.0924433249370275,True,-0.04,RARE,2025-12-30,0.2518891687657466,1.3411633924243989,61689196.724166654,0.030709163170865774
